tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N110UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N111DC,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N111HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N111NG,2019,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N111US,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N111ZM,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N11206,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N112AN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N112DN,NA,NA,AIRBUS SAS,A321-211,2,222,NA,Turbo-fan
N112DU,2019,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N112HQ,2007,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N112US,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N113AN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N113DQ,2019,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N113DX,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N113HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N113SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N114DN,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N114DU,2019,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N114HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N114SY,2014,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N114UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N115DN,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N115DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N115HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N115NN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N116AN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N116DN,2021,NA,AIRBUS SAS,A321-211,2,222,NA,Turbo-fan
N116DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N116HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N116SY,2014,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N117AN,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N117DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N117DX,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N117HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N117SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N117UW,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N118DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N118DY,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N118HQ,2007,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N118NN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N118SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N118US,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N119DN,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N119DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N119HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N119NN,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N119SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N119US,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N12003,NA,NA,BOEING,787-10,2,120,NA,Turbo-fan
N12004,2019,NA,BOEING,787-10,2,120,NA,Turbo-fan
N12005,2019,NA,BOEING,787-10,2,120,NA,Turbo-fan
N12006,2019,NA,BOEING,787-10,2,120,NA,Turbo-fan
N1200K,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N12010,2019,NA,BOEING,787-10,2,120,NA,Turbo-fan
N12012,2020,NA,BOEING,787-10,2,120,NA,Turbo-fan
N1201P,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N12028,2015,NA,AIRBUS,A319-115,2,147,NA,Turbo-fan
N120DN,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N120DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N120EE,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N120HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N120SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N12109,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N12114,1995,NA,BOEING,757-224,2,178,NA,Turbo-fan
N12116,1996,NA,BOEING,757-224,2,178,NA,Turbo-fan
N12125,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N121AN,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N121DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N121DZ,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N121HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N121SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N121UW,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N12216,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N12218,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N12221,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N12225,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N12238,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N122DN,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N122DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N122HQ,2007,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N122NN,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N122SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N122US,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N123DQ,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N123DW,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N123HQ,2007,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N123NN,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N123UW,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N124AA,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N124DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N124DX,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N124HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N124SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N124US,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N125AA,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N125DN,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N125DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N125HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N125SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N125UW,2009,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N126AN,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N126DN,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N126DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N126HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N126UW,2009,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N12754,2002,NA,BOEING,737-700,2,149,NA,Turbo-fan
N127AA,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N127DN,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N127DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N127HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N127SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N127UW,2010,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N128AN,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N128DN,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N128DU,2019,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N128HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N128SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N128UW,2010,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N129AA,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N129DN,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N129DU,NA,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N129HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N13013,2020,NA,BOEING,787-10,2,120,NA,Turbo-fan
N130AN,2014,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N130DU,2020,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N130HQ,2008,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N130SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N13110,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N13113,1995,NA,BOEING,757-224,2,178,NA,Turbo-fan
N13138,1999,NA,BOEING,757-224,2,178,NA,Turbo-fan
N131DU,2020,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N131EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N131HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N131NN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N131SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N13227,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N13248,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N132AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N132DU,NA,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N132EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N132HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N132SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N133AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N133DU,NA,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N133EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N133HQ,2008,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N133SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N134AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N134DU,2020,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N134EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N134HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N134SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N135DQ,2020,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N135EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N135HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N135NN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N135SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N136AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N136DQ,2020,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N136EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N136HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N136SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N13716,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N13718,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N13720,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N13750,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N137AA,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N137DU,NA,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N137EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N137HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N138AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N138DU,NA,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N138EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N138HQ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N138SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N13954,2015,NA,BOEING,787-9,2,422,NA,Turbo-fan
N139AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N139DU,NA,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N139SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N14001,2018,NA,BOEING,787-10,2,120,NA,Turbo-fan
N14011,2019,NA,BOEING,787-10,2,120,NA,Turbo-fan
N140AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N140DU,NA,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N140SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N14102,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14106,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14107,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14115,1995,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14118,1997,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14120,1997,NA,BOEING,757-224,2,178,NA,Turbo-fan
N141DU,NA,NA,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N141NN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N141SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N14214,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14219,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14228,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14230,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14231,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14235,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14237,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14240,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14242,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14249,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14250,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N142AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N142SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N143AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N143SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N144AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N144SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N145AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N145SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N146AA,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N146PQ,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N146SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N14704,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N14731,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N14735,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N147AA,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N147PQ,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N148AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N148SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N149AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N149SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N150NN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N150SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N150UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N151AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N151SY,2015,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N151UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N152AA,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N152SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N152UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N153AN,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N153PQ,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N153SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N153UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N154AA,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N154SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N154UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N155NN,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N155UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N156AN,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N156SY,2016,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N156UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15710,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N15712,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N15751,1999,NA,BOEING,737-71Q,2,149,NA,Turbo-fan
N157AA,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N157SY,2016,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N157UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N158AN,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N15969,2017,NA,BOEING,787-9,2,422,NA,Turbo-fan
N159AN,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N16008,2019,NA,BOEING,787-10,2,120,NA,Turbo-fan
N16009,2019,NA,BOEING,787-10,2,120,NA,Turbo-fan
N1602,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
